shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88178,46.46888,30.67509,751,
88178,46.46908,30.67456,753,
88178,46.46925,30.67391,755,
88178,46.46927,30.67381,757,
88178,46.46928,30.67377,759,
88178,46.46932,30.67379,761,
88178,46.46932,30.67379,763,
88178,46.469319,30.673786,765,
88178,46.46932,30.67379,770,
88178,46.46932,30.67379,772,
88178,46.46928,30.67377,774,
88178,46.46964,30.67233,776,
88178,46.47004,30.67067,778,
88178,46.47041,30.66928,780,
88178,46.4703,30.66932,782,
88178,46.47002,30.66918,784,
88178,46.47006,30.66904,786,
88178,46.47006,30.66904,788,
88178,46.470055,30.669037,790,
88178,46.47006,30.66904,795,
88178,46.47006,30.66904,797,
88178,46.47002,30.66918,799,
88178,46.47,30.66917,801,
88178,46.46951,30.66891,803,
88178,46.46934,30.66881,805,
88178,46.46912,30.66872,807,
88178,46.46914,30.66874,809,
88178,46.46915,30.66877,811,
88178,46.46912,30.6688,813,
88178,46.46912,30.6688,815,
88178,46.4691231856243,30.668796300888065,817,
89311,46.47301727923973,30.75406908988953,1,
89311,46.47292,30.75407,6,
89311,46.47291,30.75419,8,
89311,46.47292,30.75431,10,
89311,46.47298,30.7544,12,
89311,46.47305,30.75449,14,
89311,46.47309,30.75453,16,
89311,46.47313,30.75459,18,
89311,46.47354,30.75502,20,
89311,46.47358,30.75509,22,
89311,46.47367,30.75515,24,
89311,46.4738,30.7553,26,
89311,46.47386,30.75535,28,
89311,46.47393,30.75537,30,
89311,46.47408,30.75537,32,
89311,46.47434,30.75537,34,
89311,46.47445,30.75534,36,
89311,46.47446,30.75522,38,
89311,46.47451,30.75462,40,
89311,46.47451,30.75449,42,
89311,46.47451,30.75444,44,
89311,46.47451,30.75438,46,
89311,46.47451,30.75429,48,
89311,46.47453,30.75421,50,
89311,46.47453,30.75412,52,
89311,46.47455,30.75391,54,
89311,46.47455,30.7539,56,
89311,46.47463,30.75391,58,
89311,46.47463,30.75391,60,
89311,46.47463,30.75391,65,
89311,46.47455,30.7539,67,
89311,46.4746,30.75302,69,
89311,46.47463,30.75251,71,
89311,46.47466,30.75203,73,
89311,46.47476,30.75065,75,
89311,46.47484,30.74955,77,
89311,46.47486,30.74917,79,
89311,46.47488,30.74893,81,
89311,46.4749,30.74865,83,
89311,46.47492,30.74838,85,
89311,46.47495,30.74811,87,
89311,46.47496,30.74794,89,
89311,46.47498,30.74773,91,
89311,46.47498,30.74758,93,
89311,46.475,30.74741,95,
89311,46.475,30.74721,97,
89311,46.47502,30.74704,99,
89311,46.47516,30.74707,101,
89311,46.47516,30.74703,103,
89311,46.475138,30.747029,105,
89311,46.47514,30.74703,110,
89311,46.47514,30.74707,112,
89311,46.475,30.74704,114,
89311,46.475,30.74689,116,
89311,46.47502,30.74683,118,
89311,46.47505,30.74663,120,
89311,46.47513,30.74554,122,
89311,46.47518,30.74494,124,
89311,46.47519,30.7447,126,
89311,46.4752,30.74454,128,
89311,46.47538,30.74218,130,
89311,46.47538,30.742,132,
89311,46.47539,30.74178,134,
89311,46.4754,30.74164,136,
89311,46.47544,30.74124,138,
89311,46.4754,30.74101,140,
89311,46.47553,30.74103,142,
89311,46.475563,30.741032,144,
89311,46.47556,30.74103,149,
89311,46.47543,30.74101,151,
89311,46.47553,30.7406,153,
89311,46.47556,30.73996,155,
89311,46.47557,30.73973,157,
89311,46.47558,30.73956,159,
89311,46.47561,30.73865,161,
